athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,recovery,tre_laghi,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.7753599163282487,0,45.18933,10.79333333,93.0
amatour,recovery,tre_laghi,2,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7018495015219903,0,45.18926,10.79329333,91.0
amatour,recovery,tre_laghi,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.17262846467819,0,45.18926333,10.79323667,90.0
amatour,recovery,tre_laghi,4,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.8906557852393147,0,45.18929667,10.79316667,88.0
amatour,recovery,tre_laghi,5,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.244196818714168,0,45.18930833,10.793115,85.0
amatour,recovery,tre_laghi,6,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7436470297524966,0.026619015581595944,45.18930667,10.79308167,80.0
amatour,recovery,tre_laghi,7,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1213804284101188,0.029922105693896542,45.18930833,10.79303667,76.0
amatour,recovery,tre_laghi,8,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7063183457513005,0.04988377894367592,45.18930667,10.79298333,72.0
amatour,recovery,tre_laghi,9,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1579429737010503,0.034100594943911336,45.18931333,10.79293833,69.0
amatour,recovery,tre_laghi,10,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.8446616893478491,0.03199180888334599,45.189315,10.79289167,66.0
amatour,recovery,tre_laghi,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.229036228446244,0.033046626490145725,45.18931667,10.79285667,64.0
amatour,recovery,tre_laghi,12,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.1779308392444257,0.057266552870316775,45.18931833,10.792825,61.0
amatour,recovery,tre_laghi,13,warmup,low,keep going,Z2,Z2,Z1,Z1,downhill,1.2111625839800704,0.06484208948875421,45.18931667,10.79279333,60.0
amatour,recovery,tre_laghi,14,warmup,low,keep going,Z2,Z2,Z1,Z1,downhill,1.2429259634933825,0.10344192305322328,45.18931667,10.79277167,58.0
amatour,recovery,tre_laghi,15,warmup,low,keep going,Z2,Z2,Z1,Z1,downhill,1.2132710876085533,0.1514135564987058,45.18931833,10.79274667,56.0
amatour,recovery,tre_laghi,16,warmup,low,keep going,Z2,Z2,Z1,Z1,downhill,1.2770291700095928,0.1988806485626462,45.18932167,10.79271833,55.0
amatour,recovery,tre_laghi,17,warmup,low,keep going,Z2,Z2,Z1,Z1,downhill,1.229339901847403,0.28181219699645405,45.18932333,10.79268833,54.0
amatour,recovery,tre_laghi,18,warmup,low,keep going,Z2,Z2,Z1,Z1,downhill,1.2364545642369114,0.38205307178443393,45.189325,10.79265167,53.0
amatour,recovery,tre_laghi,19,warmup,low,keep going,Z2,Z2,Z1,Z1,downhill,1.2248637047888662,0.4940518254439387,45.18932667,10.792625,52.0
amatour,recovery,tre_laghi,20,warmup,low,keep going,Z2,Z2,Z1,Z1,downhill,1.206148555694468,0.6690136840195239,45.18932667,10.7926,51.0
amatour,recovery,tre_laghi,21,warmup,low,keep going,Z2,Z2,Z1,Z1,downhill,1.2685964440760835,0.87684211451988,45.18933,10.79257333,50.0
amatour,recovery,tre_laghi,22,warmup,low,keep going,Z2,Z2,Z1,Z1,downhill,1.274124482561276,1.1350963730333306,45.18933,10.79254833,49.0
amatour,recovery,tre_laghi,23,warmup,low,keep going,Z2,Z2,Z1,Z1,downhill,1.270641913441748,1.4690543300336805,45.18932833,10.79251833,48.0
amatour,recovery,tre_laghi,24,warmup,low,keep going,Z2,Z2,Z1,Z1,flat,1.2835147570120076,1.9397802204329666,45.18932833,10.79249,48.0
amatour,recovery,tre_laghi,25,warmup,low,slow down,Z2,Z1,Z1,Z1,downhill,1.5615298406105642,2.4872939946321915,45.18932833,10.79246167,47.0
amatour,recovery,tre_laghi,26,warmup,medium,slow down,Z2,Z1,Z1,Z1,flat,1.3617911771249918,3.2456611758437757,45.18933,10.79243167,47.0
amatour,recovery,tre_laghi,27,warmup,medium,slow down,Z1,Z1,Z1,Z1,downhill,1.0331873107603404,4.205191114705403,45.18933,10.79240333,46.0
amatour,recovery,tre_laghi,28,warmup,medium,slow down,Z1,Z1,Z1,Z1,flat,1.4383342136628794,5.41812748327734,45.18933167,10.792375,46.0
amatour,recovery,tre_laghi,29,warmup,high,slow down,Z1,Z1,Z1,Z1,flat,-1.8914857382326904,7.036582375670967,45.18933333,10.79234833,46.0
amatour,recovery,tre_laghi,30,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-5.763278050130521,9.157220376186165,45.189335,10.79232,46.0
amatour,recovery,tre_laghi,31,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.410831467810893,10,45.18933667,10.79229333,45.0
amatour,recovery,tre_laghi,32,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.387174291607828,10,45.18933833,10.79226167,45.0
amatour,recovery,tre_laghi,33,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.32799191826866,10,45.18934167,10.79223167,45.0
amatour,recovery,tre_laghi,34,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.386399346086483,10,45.18934667,10.79220167,45.0
amatour,recovery,tre_laghi,35,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.336224813165328,10,45.18935,10.792175,45.0
amatour,recovery,tre_laghi,36,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.49184616238494,10,45.18935333,10.79215,44.0
amatour,recovery,tre_laghi,37,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.326612962852105,10,45.18935667,10.79212167,44.0
amatour,recovery,tre_laghi,38,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.341511051029801,10,45.18935833,10.79209333,44.0
amatour,recovery,tre_laghi,39,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.3566290129357625,10,45.18935833,10.792065,44.0
amatour,recovery,tre_laghi,40,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.4585939102899905,10,45.18935833,10.79203667,44.0
amatour,recovery,tre_laghi,41,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.35097092908757,10,45.18936167,10.792005,44.0
amatour,recovery,tre_laghi,42,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.392480200309379,10,45.189365,10.79197167,43.0
amatour,recovery,tre_laghi,43,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.457664254868427,10,45.189365,10.79193833,43.0
amatour,recovery,tre_laghi,44,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.353043482653583,10,45.18936833,10.791905,43.0
amatour,recovery,tre_laghi,45,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.443387940637504,10,45.18937,10.79187333,43.0
amatour,recovery,tre_laghi,46,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.479684927629093,10,45.18937167,10.79184333,43.0
amatour,recovery,tre_laghi,47,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.383118994924201,10,45.189375,10.79181167,43.0
amatour,recovery,tre_laghi,48,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.44127796560675,10,45.18937833,10.79178,42.0
amatour,recovery,tre_laghi,49,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.3523920133589025,10,45.18938,10.79175,42.0
amatour,recovery,tre_laghi,50,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.4873093625096745,10,45.18938,10.79172167,42.0
amatour,recovery,tre_laghi,51,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.333009939842176,10,45.18938167,10.791695,42.0
amatour,recovery,tre_laghi,52,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.443454176491312,10,45.18938333,10.79166833,42.0
amatour,recovery,tre_laghi,53,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.44748539979667,10,45.18938333,10.79164333,42.0
amatour,recovery,tre_laghi,54,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.388035009320433,10,45.189385,10.79161833,42.0
amatour,recovery,tre_laghi,55,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.304074154983794,10,45.189385,10.79159,42.0
amatour,recovery,tre_laghi,56,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.418624954441011,10,45.18938833,10.79156167,41.0
amatour,recovery,tre_laghi,57,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.3181079894681735,10,45.189395,10.79153333,41.0
amatour,recovery,tre_laghi,58,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.468367158729593,10,45.1894,10.79150833,40.0
amatour,recovery,tre_laghi,59,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.420703613968941,10,45.18940333,10.79148333,39.0
amatour,recovery,tre_laghi,60,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.410942831818309,10,45.18940667,10.79145833,39.0
amatour,recovery,tre_laghi,61,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.463317416333116,10,45.189405,10.79143333,38.0
amatour,recovery,tre_laghi,62,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.466045250099772,10,45.18940667,10.791405,37.0
amatour,recovery,tre_laghi,63,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.3668607305394636,10,45.18940833,10.79138,36.0
amatour,recovery,tre_laghi,64,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.495103471144885,10,45.18940833,10.79135,36.0
amatour,recovery,tre_laghi,65,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.3409335752467495,10,45.18941,10.79132167,35.0
amatour,recovery,tre_laghi,66,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.350336569218772,10,45.18941,10.79129333,35.0
amatour,recovery,tre_laghi,67,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.325376217914391,10,45.18941167,10.79126833,34.0
amatour,recovery,tre_laghi,68,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.455312684343626,10,45.189415,10.79124333,33.0
amatour,recovery,tre_laghi,69,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.317062344744096,10,45.18941333,10.79121667,33.0
amatour,recovery,tre_laghi,70,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.37025060812959,10,45.18941333,10.79118667,32.0
amatour,recovery,tre_laghi,71,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.356707437835373,10,45.18941667,10.79115833,31.0
amatour,recovery,tre_laghi,72,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.323646326557696,10,45.18942,10.79113167,31.0
amatour,recovery,tre_laghi,73,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.339026211177058,10,45.18942167,10.79110167,30.0
amatour,recovery,tre_laghi,74,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.363843787757094,10,45.18942667,10.79107167,30.0
amatour,recovery,tre_laghi,75,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.342065218920415,10,45.189425,10.79104167,29.0
amatour,recovery,tre_laghi,76,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.35003871560405,10,45.18942167,10.79101167,29.0
amatour,recovery,tre_laghi,77,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.409396383942928,10,45.18941833,10.79098333,28.0
amatour,recovery,tre_laghi,78,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.382959149301469,10,45.18941667,10.79095333,27.0
amatour,recovery,tre_laghi,79,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.374735562611799,10,45.18941333,10.79092667,26.0
amatour,recovery,tre_laghi,80,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.499853502731077,10,45.18941167,10.7909,26.0
amatour,recovery,tre_laghi,81,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.476909368831056,10,45.18941,10.79087167,25.0
amatour,recovery,tre_laghi,82,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.431945541426606,10,45.18941,10.79084333,24.0
amatour,recovery,tre_laghi,83,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.486767451434095,10,45.18941,10.79081333,24.0
amatour,recovery,tre_laghi,84,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.415996929696436,10,45.18941333,10.79078,23.0
amatour,recovery,tre_laghi,85,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.400727871178606,10,45.18941333,10.79075,23.0
amatour,recovery,tre_laghi,86,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.431236812312032,10,45.18941667,10.79072167,22.0
amatour,recovery,tre_laghi,87,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.314731574912665,10,45.18942,10.790695,22.0
amatour,recovery,tre_laghi,88,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.3286753015189205,10,45.189425,10.790675,22.0
amatour,recovery,tre_laghi,89,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.3203645336562175,10,45.18942,10.79065333,21.0
amatour,recovery,tre_laghi,90,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.387461252844185,10,45.189415,10.79063167,21.0
amatour,recovery,tre_laghi,91,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.332742249812087,10,45.18940833,10.79061167,21.0
amatour,recovery,tre_laghi,92,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.455376202233618,10,45.18939833,10.79059167,21.0
amatour,recovery,tre_laghi,93,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.37591851514201,10,45.18937833,10.79057833,21.0
amatour,recovery,tre_laghi,94,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.491715499088671,10,45.18935,10.79057333,20.0
amatour,recovery,tre_laghi,95,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.326950857502231,10,45.18932333,10.79056833,20.0
amatour,recovery,tre_laghi,96,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.403550571675587,10,45.1893,10.79056,20.0
amatour,recovery,tre_laghi,97,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.429292495782768,10,45.18927667,10.79055667,20.0
amatour,recovery,tre_laghi,98,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.43505457420553,10,45.189255,10.79055333,20.0
amatour,recovery,tre_laghi,99,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.458097853909011,10,45.18923,10.79055833,19.0
amatour,recovery,tre_laghi,100,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.366847108498608,10,45.18920833,10.79055833,19.0
amatour,recovery,tre_laghi,101,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.337865463140164,10,45.18918667,10.79056,19.0
amatour,recovery,tre_laghi,102,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.400645112691971,10,45.18916,10.79056167,19.0
amatour,recovery,tre_laghi,103,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.387473399480538,10,45.18913167,10.79056667,19.0
amatour,recovery,tre_laghi,104,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.329461467590645,10,45.189105,10.79057,19.0
amatour,recovery,tre_laghi,105,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.42685133110197,10,45.18907833,10.79056833,19.0
amatour,recovery,tre_laghi,106,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.323684272855971,10,45.18905333,10.79056167,19.0
amatour,recovery,tre_laghi,107,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.407790270230705,10,45.18902667,10.79055333,19.0
amatour,recovery,tre_laghi,108,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.396826295504807,10,45.189005,10.79054167,19.0
amatour,recovery,tre_laghi,109,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.393320689253162,10,45.18898667,10.79052833,19.0
amatour,recovery,tre_laghi,110,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.473838077583768,10,45.18896667,10.79051333,19.0
amatour,recovery,tre_laghi,111,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.4106109127484965,10,45.18894833,10.7905,19.0
amatour,recovery,tre_laghi,112,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.323525574524111,10,45.18893167,10.79048667,19.0
amatour,recovery,tre_laghi,113,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.467957683233771,10,45.18891667,10.79047667,19.0
amatour,recovery,tre_laghi,114,warmup,high,keep going,Z1,Z1,Z1,Z1,uphill,-7.413852775490943,10,45.188895,10.79046833,20.0
amatour,recovery,tre_laghi,115,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.491055668505199,10,45.18887833,10.79046167,20.0
amatour,recovery,tre_laghi,116,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.49885410834714,10,45.18885667,10.79045667,20.0
amatour,recovery,tre_laghi,117,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.308520906086408,10,45.18884,10.790455,20.0
amatour,recovery,tre_laghi,118,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.321117227791738,10,45.18882667,10.79045167,20.0
amatour,recovery,tre_laghi,119,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.318584716719303,10,45.18881167,10.790445,20.0
amatour,recovery,tre_laghi,120,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.355831619876333,10,45.188795,10.79044167,20.0
amatour,recovery,tre_laghi,121,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.336288394237129,10,45.188775,10.79044333,20.0
amatour,recovery,tre_laghi,122,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.307323358513263,10,45.18875167,10.79044333,19.0
amatour,recovery,tre_laghi,123,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.374039348130415,10,45.18873,10.79044333,19.0
amatour,recovery,tre_laghi,124,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.375580849720731,10,45.18870833,10.79044,19.0
amatour,recovery,tre_laghi,125,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.41244984110064,10,45.188695,10.79043333,19.0
amatour,recovery,tre_laghi,126,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.358482364614882,10,45.188675,10.79042667,19.0
amatour,recovery,tre_laghi,127,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.492508016070938,10,45.188655,10.79042,19.0
amatour,recovery,tre_laghi,128,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.466126041413298,10,45.18863833,10.79041167,19.0
amatour,recovery,tre_laghi,129,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.46691992465764,10,45.18862,10.79041,18.0
amatour,recovery,tre_laghi,130,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.40577327907901,10,45.18860333,10.79041167,18.0
amatour,recovery,tre_laghi,131,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.495966411820392,10,45.188585,10.79041667,18.0
amatour,recovery,tre_laghi,132,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.311262136584085,10,45.18857,10.79042333,18.0
amatour,recovery,tre_laghi,133,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.471324892030452,10,45.18855167,10.79042667,18.0
amatour,recovery,tre_laghi,134,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.3744777229410445,10,45.18852833,10.79043,18.0
amatour,recovery,tre_laghi,135,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.399769925834454,10,45.18851167,10.79043167,18.0
amatour,recovery,tre_laghi,136,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.381627500028657,10,45.1885,10.79043,18.0
amatour,recovery,tre_laghi,137,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.339084765848767,10,45.188495,10.79042833,17.0
amatour,recovery,tre_laghi,138,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.493095233841559,10,45.18849333,10.79042833,17.0
amatour,recovery,tre_laghi,139,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.352821864773425,10,45.18849167,10.79042833,17.0
amatour,recovery,tre_laghi,140,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.3374730291976045,10,45.18849167,10.79042667,17.0
amatour,recovery,tre_laghi,141,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.319443165686928,10,45.18849167,10.79042833,16.0
amatour,recovery,tre_laghi,142,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.463951744875286,10,45.18849333,10.79042833,16.0
amatour,recovery,tre_laghi,143,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.457130073098976,10,45.18849333,10.79042833,16.0
amatour,recovery,tre_laghi,144,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.421097376125076,10,45.18849333,10.79042667,16.0
amatour,recovery,tre_laghi,145,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.38451642479133,10,45.18849333,10.79042667,15.0
amatour,recovery,tre_laghi,146,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.304891251989201,10,45.18849333,10.79042667,15.0
amatour,recovery,tre_laghi,147,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.4265170273116485,10,45.18849333,10.79042667,15.0
amatour,recovery,tre_laghi,148,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.414657535845484,10,45.18849333,10.79042667,15.0
amatour,recovery,tre_laghi,149,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.4520626347122745,10,45.18849333,10.79042667,15.0
amatour,recovery,tre_laghi,150,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.498236626684853,10,45.18849333,10.79042667,15.0
amatour,recovery,tre_laghi,151,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.32625096809782,10,45.18849333,10.79042667,15.0
amatour,recovery,tre_laghi,152,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.310571471463441,10,45.18849333,10.79042667,15.0
amatour,recovery,tre_laghi,153,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.392819374374607,10,45.18849333,10.79042667,15.0
amatour,recovery,tre_laghi,154,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.425282575371342,10,45.18849333,10.79042667,15.0
amatour,recovery,tre_laghi,155,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.4181335771243,10,45.18849333,10.79042667,15.0
amatour,recovery,tre_laghi,156,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.379535993802951,10,45.18849333,10.79042667,15.0
amatour,recovery,tre_laghi,157,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.443777918692882,10,45.18849333,10.79042667,15.0
amatour,recovery,tre_laghi,158,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.462082105144169,10,45.18849333,10.79042667,15.0
amatour,recovery,tre_laghi,159,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.368176828217941,10,45.18849333,10.79042667,15.0
amatour,recovery,tre_laghi,160,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.362740758892587,10,45.18849333,10.79042667,15.0
amatour,recovery,tre_laghi,161,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.467083312539633,10,45.18849333,10.79042667,15.0
amatour,recovery,tre_laghi,162,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.399360719911879,10,45.18849333,10.79042833,15.0
amatour,recovery,tre_laghi,163,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.329843113079222,10,45.18849333,10.79042833,15.0
amatour,recovery,tre_laghi,164,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.4172774685645635,10,45.18849333,10.79042833,15.0
amatour,recovery,tre_laghi,165,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.431980563039442,10,45.18849333,10.79042833,15.0
amatour,recovery,tre_laghi,166,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.422959225879351,10,45.18849333,10.79042833,15.0
amatour,recovery,tre_laghi,167,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.40640280101754,10,45.18849333,10.79042833,15.0
amatour,recovery,tre_laghi,168,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.40004176414649,10,45.18849,10.790425,15.0
amatour,recovery,tre_laghi,169,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.4978641950815685,10,45.18846667,10.79040833,15.0
amatour,recovery,tre_laghi,170,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.321718765411598,10,45.18844167,10.79039833,15.0
amatour,recovery,tre_laghi,171,warmup,high,keep going,Z1,Z1,Z1,Z1,uphill,-7.482613818585494,10,45.18841667,10.79038833,16.0
amatour,recovery,tre_laghi,172,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.310928154768813,10,45.18839167,10.79038,16.0
amatour,recovery,tre_laghi,173,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.3872834514257315,10,45.188365,10.79037333,16.0
amatour,recovery,tre_laghi,174,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.3151901919383375,10,45.18833667,10.79037167,16.0
amatour,recovery,tre_laghi,175,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.429535756208576,10,45.18830833,10.79036667,16.0
amatour,recovery,tre_laghi,176,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.364242502790986,10,45.18828,10.79036,16.0
amatour,recovery,tre_laghi,177,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.426996419072435,10,45.18825167,10.79035333,16.0
amatour,recovery,tre_laghi,178,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.478085427941202,10,45.18822667,10.79035333,16.0
amatour,recovery,tre_laghi,179,warmup,high,keep going,Z1,Z1,Z1,Z1,uphill,-7.354717036125179,10,45.18820167,10.790355,17.0
amatour,recovery,tre_laghi,180,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.447989275546461,10,45.18817667,10.79035667,17.0
amatour,recovery,tre_laghi,181,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.4373709769334635,10,45.18815333,10.79035833,17.0
amatour,recovery,tre_laghi,182,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.446089986975206,10,45.18813,10.79035833,17.0
amatour,recovery,tre_laghi,183,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.373130443197994,10,45.18810833,10.790355,17.0
amatour,recovery,tre_laghi,184,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.304373612499439,10,45.188085,10.79035167,17.0
amatour,recovery,tre_laghi,185,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.407207082943782,10,45.18806,10.79035167,17.0
amatour,recovery,tre_laghi,186,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.446585125908039,10,45.18804,10.79035,17.0
amatour,recovery,tre_laghi,187,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.350056645368425,10,45.18801667,10.79035333,17.0
amatour,recovery,tre_laghi,188,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.4804938445622025,10,45.18799167,10.79036,17.0
